City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
297,Kazachinskoye,RU,57.6953,93.2761,45.64,66,0,4.79,clear sky
298,Chumikan,RU,54.7183,135.315,33.51,95,100,12.44,overcast clouds
299,Nuuk,GL,64.1835,-51.7216,32.61,64,20,9.22,few clouds
300,Boueni,YT,-12.9025,45.0761,80.58,73,9,5.1,clear sky
301,Sitka,US,57.0531,-135.33,44.49,76,75,0.0,broken clouds
302,Norman Wells,CA,65.282,-126.8329,35.64,69,100,4.61,overcast clouds
303,Cheney,US,47.4874,-117.5758,53.13,83,100,9.22,light rain
304,La Asuncion,VE,11.0333,-63.8628,94.73,52,100,21.85,overcast clouds
305,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,70,6.91,broken clouds
306,Susanville,US,40.4163,-120.653,64.9,44,0,18.41,clear sky
307,Chernitsyno,RU,51.5074,36.051,51.28,57,7,6.33,clear sky
308,Hobyo,SO,5.3505,48.5268,83.08,83,12,21.81,few clouds
309,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,63,57,16.46,broken clouds
310,Esperance,AU,-33.8667,121.9,51.64,75,0,13.02,clear sky
311,Quesnel,CA,52.9999,-122.5029,45.1,70,100,4.61,overcast clouds
312,Gualeguaychu,AR,-33.0094,-58.5172,71.89,76,7,5.3,clear sky
313,Nabire,ID,-3.3667,135.4833,77.11,90,51,3.09,broken clouds
314,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,74.86,38,0,4.29,clear sky
315,Kourou,GF,5.1552,-52.6478,78.85,95,100,8.19,light rain
316,Svetlogorsk,BY,52.6333,29.7333,49.73,68,100,7.72,overcast clouds
317,Callaway,US,30.153,-85.5699,76.95,93,100,25.32,thunderstorm with light rain
318,Tripoli,LY,32.8752,13.1875,64.99,63,0,4.9,clear sky
319,Kasongo-Lunda,CD,-6.4667,16.8167,77.99,71,98,1.66,overcast clouds
320,Evensk,RU,61.95,159.2333,30.6,97,100,12.01,light snow
321,Aksarka,RU,66.5606,67.7975,1.58,92,11,1.97,few clouds
322,Mirabad,AF,30.4362,61.8383,93.63,10,76,8.16,broken clouds
323,Hadsund,DK,56.7148,10.1168,56.95,88,89,10.54,overcast clouds
324,Senador Guiomard,BR,-10.1522,-67.7392,83.95,51,15,1.25,few clouds
325,Bilibino,RU,68.0546,166.4372,30.61,98,100,5.61,light snow
326,Tigil,RU,57.8,158.6667,33.6,92,100,4.41,overcast clouds
327,Beloha,MG,-25.1667,45.05,72.81,82,16,5.79,few clouds
328,Swellendam,ZA,-34.0226,20.4417,56.8,87,100,4.07,light rain
329,Roros,NO,62.5747,11.3842,51.64,58,75,6.91,broken clouds
330,Oloron-Sainte-Marie,FR,43.1944,-0.6107,60.73,96,81,4.29,broken clouds
331,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,91.62,40,4,6.11,clear sky
332,Shenjiamen,CN,29.9576,122.298,62.87,96,56,5.39,broken clouds
333,Isla Vista,US,34.4133,-119.861,79.99,68,0,6.91,clear sky
334,Pisco,PE,-13.7,-76.2167,71.65,73,0,5.75,clear sky
335,Barranca,PE,-10.75,-77.7667,69.37,74,25,11.5,scattered clouds
336,Ahuimanu,US,21.4447,-157.8378,78.51,78,75,17.27,broken clouds
337,Ler,SS,8.3018,30.1418,85.12,51,100,2.08,overcast clouds
338,Polonne,UA,50.1242,27.5109,50.14,67,100,8.37,overcast clouds
339,Oxford,GB,51.7522,-1.256,60.06,74,40,11.5,scattered clouds
340,Santarem,BR,-2.4431,-54.7083,84.33,84,20,10.36,few clouds
341,Porto Nacional,BR,-10.7081,-48.4172,86.0,54,92,3.06,overcast clouds
342,Smithers,CA,54.7804,-127.1743,43.12,70,75,9.22,broken clouds
343,San Angelo,US,31.4638,-100.437,99.54,15,0,11.5,clear sky
