City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Turbat,PK,2022-04-26 07:32:30,26.0023,63.044,102.36,17,0,10.76
215,Hirara,JP,2022-04-26 07:32:30,24.8,125.2833,86.27,79,75,19.57
216,Mizdah,LY,2022-04-26 07:32:31,31.4451,12.9801,66.6,31,45,17.96
217,Dukat,RU,2022-04-26 07:27:38,62.55,155.55,19.92,93,100,6.29
218,Yulara,AU,2022-04-26 07:32:31,-25.2406,130.9889,82.24,24,3,5.75
219,Dudinka,RU,2022-04-26 07:32:31,69.4058,86.1778,16.63,83,100,11.25
220,Dhidhdhoo,MV,2022-04-26 07:32:32,6.8833,73.1,85.19,69,97,5.23
221,Songjianghe,CN,2022-04-26 07:31:00,42.1859,127.479,51.94,35,100,9.86
222,Atambua,ID,2022-04-26 07:32:32,-9.1061,124.8925,80.22,63,100,2.53
223,Padang,ID,2022-04-26 07:32:33,-0.9492,100.3543,87.85,68,100,7.34
224,Killybegs,IE,2022-04-26 07:32:33,54.6333,-8.45,47.91,77,42,10.2
225,Majene,ID,2022-04-26 07:32:34,-3.5403,118.9707,84.9,69,100,6.98
226,Kupang,ID,2022-04-26 07:32:34,-10.1667,123.5833,83.7,63,100,2.3
227,Lingao,CN,2022-04-26 07:32:34,19.9103,109.6859,88.03,62,5,9.13
228,Berlevag,NO,2022-04-26 07:32:35,70.8578,29.0864,24.75,54,75,39.12
229,Richards Bay,ZA,2022-04-26 07:32:35,-28.783,32.0377,69.87,59,43,13.18
230,Koungou,YT,2022-04-26 07:32:36,-12.7336,45.2042,87.51,70,40,6.91
231,Dunedin,NZ,2022-04-26 07:33:36,-45.8742,170.5036,55.8,67,92,21.99
232,Namibe,AO,2022-04-26 07:33:37,-15.1961,12.1522,75.9,63,58,4.83
233,Truth Or Consequences,US,2022-04-26 07:33:10,33.1284,-107.2528,62.83,31,0,9.22
234,Grand Baie,MU,2022-04-26 07:33:37,-20.0182,57.5802,82.45,63,1,5.01
235,Road Town,VG,2022-04-26 07:33:38,18.4167,-64.6167,75.29,61,100,13.58
